period,horizon_months,feature,value,is_silent,n,resolved,rate,base_rate,lift,z_vs_rest,universe
development,6,discount_stance,acknowledged,False,33,6,0.18181818181818182,0.3795620437956204,0.47902097902097907,-2.4959516850110592,documented
development,6,discount_stance,action_promised,False,22,10,0.45454545454545453,0.3795620437956204,1.1975524475524475,0.7557201029839355,documented
development,6,discount_stance,action_taken,False,32,15,0.46875,0.3795620437956204,1.2349759615384617,1.106262604491067,documented
development,6,discount_stance,not_mentioned,True,187,73,0.39037433155080214,0.3795620437956204,1.0284862196626903,0.5407088603532263,documented
development,6,buyback_commitment,active_programme,False,110,41,0.37272727272727274,0.3795620437956204,0.9819930069930071,-0.19093392696189465,documented
development,6,buyback_commitment,authority_only,False,31,8,0.25806451612903225,0.3795620437956204,0.6799007444168734,-1.4802322590097665,documented
development,6,buyback_commitment,none,True,125,52,0.416,0.3795620437956204,1.096,1.1384149639226044,documented
development,6,buyback_commitment,specific_target,False,8,3,0.375,0.3795620437956204,0.9879807692307693,-0.026986610398785593,documented
development,6,continuation_vote,contingent_trigger,False,12,6,0.5,0.3795620437956204,1.3173076923076923,0.8792007872983459,documented
development,6,continuation_vote,none,True,247,88,0.3562753036437247,0.3795620437956204,0.9386483961382747,-2.4024812421642605,documented
development,6,continuation_vote,scheduled,False,15,10,0.6666666666666666,0.3795620437956204,1.7564102564102564,2.35678869782967,documented
development,6,winddown_path,in_progress,False,26,18,0.6923076923076923,0.3795620437956204,1.8239644970414202,3.4541152423102646,documented
development,6,winddown_path,none,True,198,54,0.2727272727272727,0.3795620437956204,0.7185314685314685,-5.881974489330496,documented
development,6,winddown_path,proposal_announced,False,38,27,0.7105263157894737,0.3795620437956204,1.8719635627530364,4.5300356979682945,documented
development,6,winddown_path,strategic_review,False,12,5,0.4166666666666667,0.3795620437956204,1.0977564102564104,0.27086488901615713,documented
development,6,activist_presence,named_holder,False,10,8,0.8,0.3795620437956204,2.1076923076923078,2.791159576441307,documented
development,6,activist_presence,none,True,254,91,0.35826771653543305,0.3795620437956204,0.9438976377952756,-2.5885138829604206,documented
development,6,activist_presence,public_pressure,False,8,3,0.375,0.3795620437956204,0.9879807692307693,-0.026986610398785593,documented
development,6,activist_presence,requisition,False,2,2,1.0,0.3795620437956204,2.6346153846153846,1.814736683590551,documented
development,6,manager_status,change_announced,False,13,13,1.0,0.3795620437956204,2.6346153846153846,4.723179979502574,documented
development,6,manager_status,changed,False,15,9,0.6,0.3795620437956204,1.5807692307692307,1.809534373079391,documented
development,6,manager_status,stable,True,234,72,0.3076923076923077,0.3795620437956204,0.8106508875739645,-5.929371985347147,documented
development,6,manager_status,under_review,False,12,10,0.8333333333333334,0.3795620437956204,2.1955128205128207,3.312544380427102,documented
development,6,fee_direction,cut,False,18,12,0.6666666666666666,0.3795620437956204,1.7564102564102564,2.5968159454028776,documented
development,6,fee_direction,increase,False,1,1,1.0,0.3795620437956204,2.6346153846153846,1.2808602526258799,documented
development,6,fee_direction,none,True,255,91,0.3568627450980392,0.3795620437956204,0.9401960784313727,-2.8365500004078794,documented
development,6,nav_marking,board_marked,False,164,69,0.42073170731707316,0.3795620437956204,1.1084662288930582,1.7146978877645884,documented
development,6,nav_marking,independent_valuation,False,73,23,0.3150684931506849,0.3795620437956204,0.8300842992623815,-1.3257584461350234,documented
development,6,nav_marking,not_stated,True,37,12,0.32432432432432434,0.3795620437956204,0.8544698544698546,-0.7444698995769811,documented
development,6,going_concern_language,material_uncertainty,False,13,13,1.0,0.3795620437956204,2.6346153846153846,4.723179979502574,documented
development,6,going_concern_language,none,True,261,91,0.3486590038314176,0.3795620437956204,0.9185823754789273,-4.723179979502574,documented
development,6,distribution_stance,cut,False,14,6,0.42857142857142855,0.3795620437956204,1.129120879120879,0.3879192295132131,documented
development,6,distribution_stance,increased,False,7,5,0.7142857142857143,0.3795620437956204,1.881868131868132,1.8486918577591906,documented
development,6,distribution_stance,maintained,False,186,68,0.3655913978494624,0.3795620437956204,0.9631927212572374,-0.6928134918213833,documented
development,6,distribution_stance,none,True,44,14,0.3181818181818182,0.3795620437956204,0.8382867132867133,-0.9157472318740935,documented
development,6,distribution_stance,suspended,False,23,11,0.4782608695652174,0.3795620437956204,1.2600334448160535,1.019116321480297,documented
development,12,discount_stance,acknowledged,False,33,20,0.6060606060606061,0.7116788321167883,0.8515928515928517,-1.4281779066994549,documented
development,12,discount_stance,action_promised,False,22,13,0.5909090909090909,0.7116788321167883,0.8303030303030304,-1.303959787784588,documented
development,12,discount_stance,action_taken,False,32,26,0.8125,0.7116788321167883,1.1416666666666668,1.339719944982166,documented
development,12,discount_stance,not_mentioned,True,187,136,0.7272727272727273,0.7116788321167883,1.021911421911422,0.8354313720389432,documented
development,12,buyback_commitment,active_programme,False,110,87,0.7909090909090909,0.7116788321167883,1.1113286713286714,2.371157957249638,documented
development,12,buyback_commitment,authority_only,False,31,13,0.41935483870967744,0.7116788321167883,0.5892473118279571,-3.815374439785062,documented
development,12,buyback_commitment,none,True,125,91,0.728,0.7116788321167883,1.0229333333333333,0.546270939137345,documented
development,12,buyback_commitment,specific_target,False,8,4,0.5,0.7116788321167883,0.7025641025641026,-1.3414565143599098,documented
development,12,continuation_vote,contingent_trigger,False,12,9,0.75,0.7116788321167883,1.0538461538461539,0.2996910038947966,documented
development,12,continuation_vote,none,True,247,176,0.7125506072874493,0.7116788321167883,1.0012249558808264,0.09635318677017372,documented
development,12,continuation_vote,scheduled,False,15,10,0.6666666666666666,0.7116788321167883,0.9367521367521368,-0.39584088317311406,documented
development,12,winddown_path,in_progress,False,26,25,0.9615384615384616,0.7116788321167883,1.3510848126232742,2.95632324381457,documented
development,12,winddown_path,none,True,198,132,0.6666666666666666,0.7116788321167883,0.9367521367521368,-2.6549154718935877,documented
development,12,winddown_path,proposal_announced,False,38,27,0.7105263157894737,0.7116788321167883,0.9983805668016195,-0.016899656462721315,documented
development,12,winddown_path,strategic_review,False,12,11,0.9166666666666666,0.7116788321167883,1.2880341880341881,1.6031090208340693,documented
development,12,activist_presence,named_holder,False,10,10,1.0,0.7116788321167883,1.4051282051282052,2.0505461966850937,documented
development,12,activist_presence,none,True,254,178,0.7007874015748031,0.7116788321167883,0.9846961437512619,-1.4183446654045677,documented
development,12,activist_presence,public_pressure,False,8,5,0.625,0.7116788321167883,0.8782051282051283,-0.5493033140697906,documented
development,12,activist_presence,requisition,False,2,2,1.0,0.7116788321167883,1.4051282051282052,0.9034457249768154,documented
development,12,manager_status,change_announced,False,13,13,1.0,0.7116788321167883,1.4051282051282052,2.3513806710155505,documented
development,12,manager_status,changed,False,15,13,0.8666666666666667,0.7116788321167883,1.2177777777777778,1.3629764463852614,documented
development,12,manager_status,stable,True,234,157,0.6709401709401709,0.7116788321167883,0.9427569581415735,-3.600639805205051,documented
development,12,manager_status,under_review,False,12,12,1.0,0.7116788321167883,1.4051282051282052,2.2548180293037055,documented
development,12,fee_direction,cut,False,18,12,0.6666666666666666,0.7116788321167883,0.9367521367521368,-0.4361553151595223,documented
development,12,fee_direction,increase,False,1,1,1.0,0.7116788321167883,1.4051282051282052,0.6376615020742398,documented
development,12,fee_direction,none,True,255,182,0.7137254901960784,0.7116788321167883,1.0028758169934642,0.2739892836230014,documented
development,12,nav_marking,board_marked,False,164,120,0.7317073170731707,0.7116788321167883,1.028142589118199,0.8936524964508695,documented
development,12,nav_marking,independent_valuation,False,73,58,0.7945205479452054,0.7116788321167883,1.1164032314717247,1.8243471381301426,documented
development,12,nav_marking,not_stated,True,37,17,0.4594594594594595,0.7116788321167883,0.6455994455994457,-3.6416660977168025,documented
development,12,going_concern_language,material_uncertainty,False,13,13,1.0,0.7116788321167883,1.4051282051282052,2.3513806710155505,documented
development,12,going_concern_language,none,True,261,182,0.6973180076628352,0.7116788321167883,0.9798212005108557,-2.3513806710155505,documented
development,12,distribution_stance,cut,False,14,11,0.7857142857142857,0.7116788321167883,1.104029304029304,0.62778665317587,documented
development,12,distribution_stance,increased,False,7,7,1.0,0.7116788321167883,1.4051282051282052,1.7059445497659116,documented
development,12,distribution_stance,maintained,False,186,139,0.7473118279569892,0.7116788321167883,1.0500689274882824,1.8930516616536144,documented
development,12,distribution_stance,none,True,44,21,0.4772727272727273,0.7116788321167883,0.6706293706293707,-3.7465051277637538,documented
development,12,distribution_stance,suspended,False,23,17,0.7391304347826086,0.7116788321167883,1.0385730211817168,0.3036615150163731,documented
development,18,discount_stance,acknowledged,False,33,27,0.8181818181818182,0.9562043795620438,0.8556557945870923,-4.131265505653211,documented
development,18,discount_stance,action_promised,False,22,22,1.0,0.9562043795620438,1.045801526717557,1.046709892672462,documented
development,18,discount_stance,action_taken,False,32,32,1.0,0.9562043795620438,1.045801526717557,1.2881978350507777,documented
development,18,discount_stance,not_mentioned,True,187,181,0.9679144385026738,0.9562043795620438,1.0122463975180633,1.3886884823891705,documented
development,18,buyback_commitment,active_programme,False,110,110,1.0,0.9562043795620438,1.045801526717557,2.9012802212748814,documented
