ticker,security_id,status,pages_done,oldest_date,n_details,h1
AAS,NAME:aberdeen asia focus|ordinary share,done,145,2006-01-30,16,Aberdeen Asia Focus
ASL,NAME:aberforth smaller companies|ordinary share,done,104,2005-02-24,33,Aberforth Smaller Companies Trust
BGFD,NAME:baillie gifford japan|ordinary share,done,130,2006-03-21,0,Baillie Gifford Japan Trust
ARR,NAME:aurora uk alpha|ordinary share,done,78,2001-10-25,9,Aurora UK Alpha plc
BIOG,NAME:biotech growth|ordinary share,done,132,2006-02-28,0,Biotech Growth Trust (The)
EOT,NAME:european opportunities|ordinary share,done,114,2005-09-21,23,European Opportunities Trust
BGS,NAME:baillie gifford shin nippon|ordinary share,done,130,2006-03-07,5,Baillie Gifford Shin Nippon
BNKR,NAME:bankers|ordinary share,done,141,2006-02-28,44,Bankers Inv Trust
GSCT,NAME:global smaller companies trust|ordinary share,done,158,2006-03-21,6,The Global Smaller Companies Trust
CGT,SEDOL:173861,done,122,2003-11-27,7,Capital Gearing Trust
JFJ,SEDOL:174002,done,150,2006-03-29,13,JPMorgan Japanese Inv Trust
NAIT,NAME:north american income|ordinary share,done,143,2006-04-04,39,North American Income Trust (The)
EDIN,SEDOL:305233,done,134,2006-03-24,56,Edinburgh Inv Trust
BRIG,SEDOL:3096169,done,139,2006-02-23,3,Blackrock Income And Growth Investment Trust
IEM,SEDOL:3123249,done,145,2006-02-20,21,Impax Environmental Markets
CLDN,SEDOL:163992,done,29,2005-02-04,9,Caledonia Investments
BUT,SEDOL:149000,done,131,2006-03-02,49,Brunner Inv Trust
AGT,SEDOL:133508,done,145,2006-03-03,1,AVI Global Trust
JAGI,SEDOL:132077,done,157,2006-03-14,57,JPMorgan Asia Growth & Income
ADIG,SEDOL:129756,done,132,2006-03-30,68,Abrdn DIversified Income And Growth
AUSC,SEDOL:295958,done,152,2006-03-21,17,Abrdn UK Smaller Companies Growth Trust
MNKS,SEDOL:3051726,done,132,2006-02-10,2,Monks Inv Trust
EWI,SEDOL:291633,done,134,2006-03-23,4,Edinburgh Worldwide Inv Trust
LWDB,SEDOL:3142921,done,64,2005-05-16,21,Law Debenture Corp.
CTY,SEDOL:199049,done,149,2006-02-17,83,City of London Inv Trust
HRI,SEDOL:422864,done,131,2006-02-28,6,Herald Investment Trust
BGCG,SEDOL:365602,done,139,2006-03-28,4,Baillie Gifford China Growth Trust
PCT,SEDOL:422002,done,143,2006-02-17,0,Polar Capital Technology Trust
JMGI,SEDOL:341895,done,168,2006-02-22,27,JPMorgan Emerging Markets Growth & Income plc
JEDT,SEDOL:341969,done,154,2006-03-09,39,JPMorgan European Discovery Trust
JCH,SEDOL:342218,done,151,2006-04-06,88,JPMorgan Claverhouse Inv Trust
JCGI,SEDOL:343501,done,146,2006-03-02,38,JpMorgan China Growth & Income
MIGO,SEDOL:3436594,done,74,2014-08-01,5,MIGO Opportunities Trust
ATT,SEDOL:339072,done,146,2006-02-14,0,Allianz Technology Trust
JUSC,SEDOL:341710,done,153,2006-03-02,10,JPMorgan US Smaller Co. Inv Tst
DIG,SEDOL:340609,done,142,2006-02-27,35,Dunedin Income Growth Inv Trust
FEV,SEDOL:337582,done,140,2006-02-08,6,Fidelity European Trust
WWH,SEDOL:338530,done,148,2006-03-06,33,Worldwide Healthcare Trust
GOT,SEDOL:3386257,done,232,2005-07-04,10,Global Opportunities Trust
FSV,SEDOL:332510,done,138,2006-02-13,6,Fidelity Special Values
FAS,SEDOL:332231,done,138,2006-02-02,5,Fidelity Asian Values
BGEU,SEDOL:329501,done,134,2006-03-14,4,Baillie Gifford European Growth Trust
BEMO,SEDOL:3227334,done,400,2021-12-10,2,Barings Emerging Emea Opportunities
