signal_month,holding_month,bucket,n_members,n_with_return,fwd_return,signal
2007-04,2007-05,1,18,18,0.017129783799212244,widening_3m
2007-04,2007-05,2,17,16,0.019261711768549274,widening_3m
2007-04,2007-05,3,17,17,0.023460706499356512,widening_3m
2007-04,2007-05,4,17,17,0.014050312674381256,widening_3m
2007-04,2007-05,5,18,18,0.024315071269982877,widening_3m
2007-04,2007-05,6,17,17,0.011494447617117558,widening_3m
2007-04,2007-05,7,17,16,0.01768872157848838,widening_3m
2007-04,2007-05,8,17,17,0.022547365354689063,widening_3m
2007-04,2007-05,9,17,17,0.012419214677879228,widening_3m
2007-04,2007-05,10,18,18,0.0006204064138433231,widening_3m
2007-05,2007-06,1,18,18,0.005267156853798626,widening_3m
2007-05,2007-06,2,17,17,-0.0002184233843881229,widening_3m
2007-05,2007-06,3,17,17,-0.010768931666695177,widening_3m
2007-05,2007-06,4,17,17,-0.019487249427525014,widening_3m
2007-05,2007-06,5,18,18,-0.008242956379058827,widening_3m
2007-05,2007-06,6,17,17,-0.022276102836560556,widening_3m
2007-05,2007-06,7,17,17,-0.02797582793630906,widening_3m
2007-05,2007-06,8,17,17,-0.015163471743181582,widening_3m
2007-05,2007-06,9,17,17,-0.012560438366258394,widening_3m
2007-05,2007-06,10,18,18,-0.021725272812417255,widening_3m
2007-06,2007-07,1,18,16,-0.0027247443618377346,widening_3m
2007-06,2007-07,2,18,18,-0.009129683687812702,widening_3m
2007-06,2007-07,3,18,18,-0.00939557021522571,widening_3m
2007-06,2007-07,4,18,18,0.00012855971478674554,widening_3m
2007-06,2007-07,5,18,18,-0.008316865169513046,widening_3m
2007-06,2007-07,6,18,18,8.637991685293988e-05,widening_3m
2007-06,2007-07,7,18,18,-0.023927085496324704,widening_3m
2007-06,2007-07,8,18,18,-0.02272948564999198,widening_3m
2007-06,2007-07,9,18,16,-0.02616632479140965,widening_3m
2007-06,2007-07,10,18,15,-0.02995281945364606,widening_3m
2007-07,2007-08,1,18,18,-0.019722671772171255,widening_3m
2007-07,2007-08,2,18,18,-0.010896027113368253,widening_3m
2007-07,2007-08,3,18,18,-0.019726886317319312,widening_3m
2007-07,2007-08,4,18,18,-0.005187537326386919,widening_3m
2007-07,2007-08,5,18,18,-0.022861363653353006,widening_3m
2007-07,2007-08,6,18,17,-0.018664275265207288,widening_3m
2007-07,2007-08,7,18,18,-0.026803501832297152,widening_3m
2007-07,2007-08,8,18,18,-0.01594575713185497,widening_3m
2007-07,2007-08,9,18,18,-0.032058163536353136,widening_3m
2007-07,2007-08,10,18,18,-0.04798865291471473,widening_3m
2007-08,2007-09,1,18,18,0.016458127003923944,widening_3m
2007-08,2007-09,2,18,18,0.022504185952595075,widening_3m
2007-08,2007-09,3,18,18,0.005712847044617275,widening_3m
2007-08,2007-09,4,17,16,0.021420381505337115,widening_3m
2007-08,2007-09,5,18,18,0.032732825980752826,widening_3m
2007-08,2007-09,6,18,18,0.04002315738481124,widening_3m
2007-08,2007-09,7,17,17,0.021282347783286838,widening_3m
2007-08,2007-09,8,18,18,0.04192554443809079,widening_3m
2007-08,2007-09,9,18,18,0.023069017445528077,widening_3m
2007-08,2007-09,10,18,17,-0.0001517732590821957,widening_3m
2007-09,2007-10,1,19,16,0.005613260665458232,widening_3m
2007-09,2007-10,2,19,17,0.03422158266819423,widening_3m
2007-09,2007-10,3,18,18,0.025000636847379427,widening_3m
2007-09,2007-10,4,19,18,0.03352345432964396,widening_3m
2007-09,2007-10,5,19,18,0.03940919903513839,widening_3m
2007-09,2007-10,6,18,18,0.02366253324325426,widening_3m
2007-09,2007-10,7,19,19,0.026763636936622946,widening_3m
2007-09,2007-10,8,18,18,0.006865176774197635,widening_3m
2007-09,2007-10,9,19,19,0.0473773275341155,widening_3m
2007-09,2007-10,10,19,19,0.01419255392077256,widening_3m
2007-10,2007-11,1,19,19,-0.0848730151785493,widening_3m
2007-10,2007-11,2,18,17,-0.07771161779889402,widening_3m
2007-10,2007-11,3,18,18,-0.08132237779185673,widening_3m
2007-10,2007-11,4,18,18,-0.052764454823055654,widening_3m
2007-10,2007-11,5,19,19,-0.08558317402188995,widening_3m
2007-10,2007-11,6,18,18,-0.07401960779865793,widening_3m
2007-10,2007-11,7,18,18,-0.0628087903170748,widening_3m
2007-10,2007-11,8,18,18,-0.04327234266188709,widening_3m
2007-10,2007-11,9,18,18,-0.06629232765758182,widening_3m
2007-10,2007-11,10,19,19,-0.06914510835316308,widening_3m
2007-11,2007-12,1,19,19,0.06423229870595643,widening_3m
2007-11,2007-12,2,18,18,-0.010607754395899017,widening_3m
2007-11,2007-12,3,18,18,0.005450209013315166,widening_3m
2007-11,2007-12,4,18,18,0.0068142976458042065,widening_3m
2007-11,2007-12,5,18,18,0.0075150651298780775,widening_3m
2007-11,2007-12,6,18,18,0.003003075135309347,widening_3m
2007-11,2007-12,7,17,17,0.01227888956139297,widening_3m
2007-11,2007-12,8,19,19,0.011215720538958316,widening_3m
2007-11,2007-12,9,18,17,-0.010344977709370725,widening_3m
2007-11,2007-12,10,18,18,-0.01545209962441981,widening_3m
2007-12,2008-01,1,19,18,-0.04501188187076561,widening_3m
2007-12,2008-01,2,19,17,-0.05953880607081746,widening_3m
2007-12,2008-01,3,19,19,-0.06507959067145815,widening_3m
2007-12,2008-01,4,19,19,-0.07943771094970788,widening_3m
2007-12,2008-01,5,19,19,-0.08415041997167068,widening_3m
2007-12,2008-01,6,19,19,-0.08472648567705864,widening_3m
2007-12,2008-01,7,19,18,-0.09938232569406352,widening_3m
2007-12,2008-01,8,19,19,-0.09453423889840237,widening_3m
2007-12,2008-01,9,19,19,-0.08904583328049676,widening_3m
2007-12,2008-01,10,19,15,-0.08645561535363967,widening_3m
2008-01,2008-02,1,19,18,0.057778144956207096,widening_3m
2008-01,2008-02,2,18,18,0.04396981285106173,widening_3m
2008-01,2008-02,3,18,18,0.042074878886616894,widening_3m
