ticker,n_obs,first_nav,last_nav,median_gap_days,nav_frequency
3IN,25,2009-05-07,2026-05-12,182.0,semiannual
AA4,1,2021-07-26,2021-07-26,,single_observation
AADV,28,2007-03-01,2024-08-16,157.0,semiannual
AAEV,3,2025-07-22,2026-07-14,178.5,semiannual
AAIF,4044,2008-06-06,2026-09-25,1.0,daily
AAS,3816,2008-06-06,2026-09-25,1.0,daily
AATG,1,2026-03-19,2026-03-19,,single_observation
ABD,3361,2008-06-06,2023-11-06,1.0,daily
ACIC,2745,2010-06-21,2024-03-07,1.0,daily
ADIG,4118,2008-07-02,2026-01-08,1.0,daily
AEET,6,2023-08-11,2026-04-24,213.0,semiannual
AEI,4017,2009-03-05,2026-09-25,1.0,daily
AEWU,53,2015-08-18,2025-11-21,104.0,quarterly
AFL,3630,2011-08-23,2026-09-25,1.0,daily
AGT,4215,2008-05-16,2026-09-25,1.0,daily
AGVI,565,2024-07-02,2026-09-24,1.0,daily
AIC,21,2025-03-12,2026-09-09,29.0,monthly
AIE,2059,2018-08-03,2026-09-25,1.0,daily
AIF,1070,2007-02-28,2021-11-12,3.0,daily
AJIT,3316,2007-11-15,2023-10-06,1.0,daily
AJOT,2004,2018-10-24,2026-09-25,1.0,daily
ALAI,3072,2010-08-18,2023-06-09,1.0,daily
ALF,2,2016-02-17,2016-02-18,1.0,daily
ALW,3044,2007-01-02,2026-09-25,1.0,daily
ANII,4033,2008-06-19,2026-09-25,1.0,daily
API,89,2007-01-09,2026-09-18,340.0,adhoc
ARR,2889,2008-06-04,2026-09-25,1.0,daily
ASCI,3424,2007-01-03,2023-11-28,1.0,daily
ASIT,1747,2017-07-04,2024-06-20,1.0,daily
ASL,3873,2007-01-02,2026-09-25,1.0,daily
ASLI,36,2018-05-08,2026-09-09,90.5,quarterly
ATR,4643,2007-01-02,2026-09-25,1.0,daily
ATS,4503,2007-01-02,2025-06-11,1.0,daily
ATT,4715,2007-01-02,2026-09-25,1.0,daily
ATY,221,2007-01-10,2026-09-03,29.0,monthly
AUGM,16,2018-03-20,2025-12-02,154.0,semiannual
AUSC,4023,2008-10-27,2026-09-25,1.0,daily
AWEM,855,2023-05-04,2026-09-25,1.0,daily
BAF,201,2007-01-04,2026-09-09,30.0,monthly
BASC,4599,2008-07-01,2026-09-25,1.0,daily
BBOX,10,2014-08-28,2020-08-06,364.0,adhoc
BEMO,1200,2021-12-10,2026-09-25,1.0,daily
BERI,4661,2007-09-04,2026-09-25,1.0,daily
BFSP,8,2025-02-11,2026-09-01,85.0,quarterly
BGCG,4968,2007-01-02,2026-09-25,1.0,daily
BGEU,4941,2007-01-02,2026-09-25,1.0,daily
BGFD,4985,2007-01-02,2026-09-25,1.0,daily
BGS,4985,2007-01-02,2026-09-25,1.0,daily
BGUK,4861,2007-01-03,2026-09-25,1.0,daily
BHMG,1121,2007-03-20,2026-09-23,5.0,weekly
BHMU,186,2023-11-14,2026-09-23,6.0,weekly
BIOG,4962,2007-01-02,2026-09-25,1.0,daily
BIPS,3450,2012-04-03,2026-09-25,1.0,daily
BMD,14,2025-10-29,2026-09-07,25.0,monthly
BNKR,4650,2007-01-02,2026-09-25,1.0,daily
BOOK,22,2021-07-29,2026-09-03,91.0,quarterly
BRAI,3359,2012-10-25,2026-09-25,1.0,daily
BRFI,3820,2010-12-20,2026-09-25,1.0,daily
BRGE,4659,2007-09-04,2026-09-25,1.0,daily
BRIG,4802,2007-01-02,2026-09-25,1.0,daily
BRLA,4350,2007-01-02,2026-09-25,1.0,daily
BRSC,4230,2009-05-19,2026-09-25,1.0,daily
BRWM,4654,2007-09-04,2026-09-25,1.0,daily
BSC,2,2026-08-06,2026-09-01,26.0,monthly
BSIF,23,2016-05-03,2025-11-14,96.5,quarterly
BSRT,199,2010-05-10,2026-09-07,29.0,monthly
BSV,2,2026-08-06,2026-09-01,26.0,monthly
BUT,4237,2008-06-03,2026-09-25,1.0,daily
BVT,14,2025-10-29,2026-09-07,25.0,monthly
CAT,6,2011-10-10,2021-10-15,491.0,adhoc
CBA,4,2019-11-06,2026-06-26,180.0,semiannual
CCJI,2719,2015-12-16,2026-09-25,1.0,daily
CGI,3033,2007-01-02,2026-09-25,1.0,daily
CGL,41,2022-03-08,2026-09-04,31.0,monthly
CGT,3148,2008-12-11,2026-09-25,1.0,daily
CGW,230,2007-01-08,2023-11-14,28.5,monthly
CHI,4590,2008-07-02,2026-09-25,1.0,daily
CHIB,22,2026-08-26,2026-09-25,1.0,daily
CHRY,34,2019-03-05,2026-09-02,92.0,quarterly
CLC,6,2024-07-17,2026-09-01,175.5,semiannual
CLDN,208,2008-01-07,2026-09-07,29.5,monthly
CMPG,4595,2008-07-02,2026-09-25,1.0,daily
CMPI,4587,2008-07-01,2026-09-25,1.0,daily
CORD,12,2021-11-24,2026-06-19,182.0,semiannual
CREI,34,2015-01-13,2022-05-10,91.0,quarterly
CRS,163,2008-07-04,2026-09-04,30.0,monthly
CTHT,2105,2016-12-05,2026-09-24,1.0,daily
CTPE,70,2008-11-27,2026-08-28,91.5,quarterly
CTPT,73,2007-01-10,2023-02-02,89.0,quarterly
CTUK,4947,2007-01-02,2026-09-25,1.0,daily
CTY,4657,2007-01-02,2026-09-25,1.0,daily
CVCE,270,2022-06-15,2026-09-20,6.0,weekly
CVCG,686,2013-07-10,2026-09-20,6.0,weekly
CYN,644,2009-03-20,2026-09-25,1.0,daily
DGI9,14,2021-09-06,2026-08-19,127.0,quarterly
DGN,3709,2007-01-02,2025-02-07,1.0,daily
DIG,4065,2008-06-06,2026-09-25,1.0,daily
DIVI,3514,2011-08-11,2026-06-26,1.0,daily
DNE,75,2008-08-28,2024-11-01,47.0,quarterly
DSM,1870,2017-05-11,2025-02-17,1.0,daily
DVNO,23,2017-06-01,2026-09-01,102.0,quarterly
EAT,4349,2008-07-02,2025-10-10,1.0,daily
EDGH,10,2020-12-22,2023-02-03,48.0,quarterly
EDIN,4085,2007-01-02,2026-09-25,1.0,daily
EGL,2370,2016-09-30,2026-09-25,1.0,daily
EJFI,99,2017-04-19,2026-09-21,30.0,monthly
EJFZ,18,2025-05-22,2026-09-21,29.0,monthly
ENRG,19,2021-11-01,2026-09-04,91.0,quarterly
EOT,3698,2007-01-04,2026-07-31,1.0,daily
ESCT,1207,2021-12-13,2026-09-25,1.0,daily
EWI,4986,2007-01-02,2026-09-25,1.0,daily
FAIR,8,2014-08-13,2022-06-16,365.0,adhoc
