ticker,name,sector,date,usable,close_raw,price_pence,price_ccy,nav_pence,nav_pence_adj,split_factor,nav_date,published_at,nav_age_days,nav_stale,discount,discount_fresh,disc_z,quality,is_vct,security_id
RESI,Residential Secure Income REIT,Property - UK Residential,2026-09-16,True,7.34,7.34,GBp,62.6,62.6,1.0,2025-12-31,2026-02-20,259.0,False,-0.882748,-0.882748,-3.640407,ok,False,SEDOL:BYSX150
SURE,Sure Ventures,Technology & Technology Innovation,2026-09-16,True,27.5,27.5,GBp,117.94,117.94,1.0,2026-06-30,2026-06-30,78.0,False,-0.766831,-0.766831,-1.725826,ok,False,SEDOL:BYWYZ46
OTV2,Octopus Titan VCT,VCT,2026-09-16,True,17.5,17.5,GBp,45.1,45.1,1.0,2026-06-30,2026-09-11,78.0,False,-0.611973,-0.611973,-1.058043,ok,True,SEDOL:B28V934
LMS,LMS Capital,Private Equity,2026-09-16,True,15.55,15.55,GBp,36.0,36.0,1.0,2025-12-31,2026-02-16,259.0,False,-0.568056,-0.568056,0.645077,ok,False,SEDOL:B12MHD2
CRS,Crystal Amber Fund,Flexible Investment,2026-09-15,True,81.5,81.5,GBp,177.77,177.77,1.0,2026-06-30,2026-09-04,77.0,False,-0.541542,-0.541542,-2.251901,ok,False,SEDOL:B1Z2SL4
RSE,Riverstone Energy,Commodities & Natural Resources,2026-09-16,True,575.0,575.0,GBp,1209.0,1209.0,1.0,2026-03-31,2026-05-18,169.0,False,-0.5244,-0.5244,-1.737915,ok,False,SEDOL:BBHXCL3
RGL,Regional REIT,Property - UK Commercial,2026-09-16,True,93.199997,93.199997,GBp,190.7,190.7,1.0,2026-06-30,2026-09-08,78.0,False,-0.511274,-0.511274,-0.347062,ok,False,SEDOL:BYV2ZQ3
SERE,Schroder European Real Estate,Property - Europe,2026-09-16,True,58.599998,58.599998,GBp,116.7,116.7,1.0,2025-12-31,2026-03-19,259.0,False,-0.497858,-0.497858,-0.690366,ok,False,SEDOL:BY7R8K7
DGI9,Digital 9 Infrastructure,Infrastructure,2026-09-16,True,4.42,4.42,GBp,8.6,8.6,1.0,2026-06-30,2026-08-19,78.0,False,-0.486047,-0.486047,0.203224,ok,False,SEDOL:BMDKH43
CHRY,Chrysalis Investments,Growth Capital,2026-09-16,True,67.400002,67.400002,GBp,131.09,131.09,1.0,2026-06-30,2026-09-02,78.0,False,-0.485849,-0.485849,-1.108497,ok,False,SEDOL:BGJYPP4
MVI,Marwyn Value Investors,UK Smaller Companies,2026-09-16,True,140.0,140.0,GBp,259.935,259.935,1.0,2026-08-31,2026-09-02,16.0,False,-0.461404,-0.461404,0.906288,ok,False,SEDOL:B1DSZV3
UTLH,UIL,Flexible Investment,2026-09-16,True,150.5,150.5,GBp,269.45,269.45,1.0,2026-09-15,2026-09-16,1.0,False,-0.441455,-0.441455,,ok,False,SEDOL:1610140
WINV,Worsley Investors,UK Smaller Companies,2026-09-16,True,28.200001,28.200001,GBp,49.1,49.1,1.0,2026-06-30,2026-09-02,78.0,False,-0.425662,-0.425662,-0.40266,ok,False,SEDOL:B06T260
VSL,VPC Specialty Lending Investments,Debt - Direct Lending,2026-09-16,True,11.975,11.975,GBp,20.6,20.6,1.0,2026-06-30,2026-09-01,78.0,False,-0.418689,-0.418689,0.19772,ok,False,SEDOL:BVG6X43
HAN,Hansa Investment Company,Flexible Investment,2026-09-16,True,332.0,332.0,GBp,545.93,545.93,1.0,2026-09-14,2026-09-16,2.0,False,-0.391863,-0.391863,0.321411,ok,False,SEDOL:787972
HANA,Hansa Investment Company,Flexible Investment,2026-09-16,True,332.0,332.0,GBp,545.93,545.93,1.0,2026-09-14,2026-09-16,2.0,False,-0.391863,-0.391863,,ok,False,SEDOL:2894108
NAS,North Atlantic Smaller Companies,North American Smaller Companies,2026-09-16,True,396.0,396.0,GBp,649.15,649.15,1.0,2026-08-31,2026-09-13,16.0,False,-0.389972,-0.389972,-0.446592,ok,False,SEDOL:643900
SBO,Schroder British Opportunities,Growth Capital,2026-09-16,True,66.0,66.0,GBp,107.06,107.06,1.0,2026-09-15,2026-09-16,1.0,False,-0.383523,-0.383523,-1.160484,ok,False,SEDOL:BN7JZR2
