ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
3IN,3i Infrastructure,Infrastructure,False,registry,GBX,4932,2007-03-08,2026-09-15,2009-03-31,2026-05-12,4386,3247,140.0,0.275340398737566,-0.03751233958538991,GBp,ok,committed,semiannual,182.0,25.0
AADV,Albion Development VCT,VCT,True,registry,GBX,4543,2007-01-02,2024-12-20,2006-12-31,2024-06-30,4501,2957,202.0,-0.03579088062767044,-0.9909425500212092,GBp,ok,committed,semiannual,157.0,28.0
AAEV,Albion Enterprise VCT,VCT,True,registry,GBX,4911,2007-04-05,2026-09-14,2025-07-22,2026-07-14,0,0,73.0,,,GBp,unresolved_scale,committed,semiannual,178.5,3.0
AAIF,Aberdeen Asian Income Fund,Asia Pacific Equity Income,False,registry,GBX,4979,2007-01-02,2026-09-15,2008-05-31,2026-09-11,4618,4397,1.0,-0.07398956459225658,-0.08796876365861472,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4034.0
AAM,Artemis VCT,VCT AIM Quoted,True,registry,GBX,0,,,,,0,0,,,,,,,,,
AAS,Aberdeen Asia Focus,Asia Pacific Smaller Companies,False,registry,GBX,4979,2007-01-02,2026-09-15,2008-05-31,2026-09-11,4618,4220,1.0,-0.12061663039058773,-0.11164950535029272,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3806.0
AATG,Albion Technology & General VCT,VCT,True,registry,GBX,4979,2007-01-02,2026-09-15,2025-12-31,2025-12-31,124,0,169.5,-0.0736812332060528,-0.0736812332060528,GBp,ok,committed,single_observation,,1.0
ABD,abrdn New Dawn Investment Trust,Asia Pacific,False,registry,GBX,4259,2007-01-02,2023-11-08,2008-05-31,2023-11-02,3898,3690,1.0,-0.11499198713308922,-0.16933142556575265,GBp,rescaled_x100,committed,daily,1.0,3361.0
ACD,AcenciA Debt Strategies,Hedge Funds,False,announcements_only,,2721,2007-01-03,2018-05-02,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
ACI,Alternative Credit Investments,Debt - Direct Lending,False,announcements_only,GBX,0,,,,,0,0,,,,,,,,,
ACIC,abrdn China Investment Company,China / Greater China,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,2745.0
ADAM,Adamas Finance Asia,Growth Capital,False,announcements_only,GBX,4269,2009-10-19,2026-09-14,,,0,0,,,,GBp,assumed_from_currency,,,,
ADIG,abrdn Diversified Income and Growth,Flexible Investment,False,registry,GBX,1,2026-04-10,2026-04-10,2025-12-31,2025-12-31,1,0,100.0,-0.9948514189465416,-0.9948514189465416,GBp,assumed_from_currency_thin_overlap,committed,daily,1.0,4118.0
AEET,Parvus Energy Efficiency Trust,Renewable Energy Infrastructure,False,announcements_only,GBX,1336,2021-06-02,2026-09-15,2023-06-30,2025-12-31,783,783,180.0,-0.40132563609151173,-0.07199996948242182,GBp,ok,s3_archive,semiannual,213.0,6.0
AEFS,Alcentra European Floating Rate Income,Debt - Loans & Bonds,False,announcements_only,GBX,0,,,,,0,0,,,,,,,,,
AEI,Aberdeen Equity Income Trust,UK Equity Income,False,registry,GBX,4979,2007-01-02,2026-09-15,2009-03-02,2026-09-11,4428,4223,1.0,-0.04567939431197432,-0.027502750275027465,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4007.0
AEIT,Thomas Lloyd Energy Impact Trust,Renewable Energy Infrastructure,False,announcements_only,,0,,,,,0,0,,,,,,,,,
AERI,Aquila European Renewables,Renewable Energy Infrastructure,False,announcements_only,GBX,1840,2019-06-05,2026-09-15,,,0,0,,,,EUR,unresolved_no_nav_no_currency,,,,
AEWL,AEW UK Long Lease REIT,Property Specialist,False,registry,,0,,,,,0,0,,,,,,,,,
AEWU,AEW UK REIT,Property - UK Commercial,False,registry,GBX,2868,2015-05-12,2026-09-15,2015-07-31,2025-09-30,2799,2773,71.0,-0.01365846114106617,-0.06499220826840224,GBp,ok,committed+s3_archive,quarterly,104.0,53.0
AFL,Artemis UK Future Leaders,UK Smaller Companies,False,registry,GBX,4979,2007-01-02,2026-09-15,2011-08-23,2026-09-11,3805,3805,0.0,-0.11136249371543494,-0.11362367392518136,GBp,ok,committed+s3_archive,daily,1.0,3620.0
AFMC,Aberdeen Frontier Markets,Global Emerging Markets,False,registry,GBX,0,,,,,0,0,,,,,,,,,
AGIT,Aberforth Geared Income,Split Capital Trust,False,registry,GBP,0,,,,,0,0,,,,,,,,,
AGOL,Ashmore Global Opportunities USD,Global Emerging Markets,False,announcements_only,,0,,,,,0,0,,,,,,,,,
AGOU,Ashmore Global Opportunities,Global Emerging Markets,False,announcements_only,GBX,0,,,,,0,0,,,,,,,,,
AGT,AVI Global Trust,Global,False,registry,GBX,4979,2007-01-02,2026-09-15,2008-05-16,2026-09-14,4632,4264,0.0,-0.10090560735867365,-0.08092195016873704,GBp,ok,committed+s3_snapshot,daily,1.0,4206.0
